Jugador,Equipo,Equipo durante el período seleccionado,Posición específica,Edad,Valor de mercado,Vencimiento contrato,Partidos jugados,Minutos jugados,Goles,xG,Asistencias,xA,Duelos/90,"Duelos ganados, %",País de nacimiento,Pasaporte,Pie,Altura,Peso,En préstamo,Acciones defensivas realizadas/90,Duelos defensivos/90,"Duelos defensivos ganados, %",Duelos aéreos en los 90,"Duelos aéreos ganados, %",Entradas/90,Posesión conquistada después de una entrada,Tiros interceptados/90,Interceptaciones/90,Posesión conquistada después de una interceptación,Faltas/90,Tarjetas amarillas,Tarjetas amarillas/90,Tarjetas rojas,Tarjetas rojas/90,Acciones de ataque exitosas/90,Goles/90,Goles (excepto los penaltis),"Goles, excepto los penaltis/90",xG/90,Goles de cabeza,Goles de cabeza/90,Remates,Remates/90,"Tiros a la portería, %","Goles hechos, %",Asistencias/90,Centros/90,"Precisión centros, %",Centros desde la banda izquierda/90,"Precisión centros desde la banda izquierda, %",Centros desde la banda derecha/90,"Precisión centros desde la banda derecha, %",Centros al área pequeña/90,Regates/90,"Regates realizados, %",Duelos atacantes/90,"Duelos atacantes ganados, %",Toques en el área de penalti/90,Carreras en progresión/90,Aceleraciones/90,Pases recibidos /90,Pases largos recibidos/90,Faltas recibidas/90,Pases/90,"Precisión pases, %",Pases hacia adelante/90,"Precisión pases hacia adelante, %",Pases hacia atrás/90,"Precision pases hacia atrás, %",Pases laterales/90,"Precisión pases laterales, %",Pases cortos / medios /90,"Precisión pases cortos / medios, %",Pases largos/90,"Precisión pases largos, %","Longitud media pases, m","Longitud media pases largos, m",xA/90,Asistencias/90.1,Second assists/90,Third assists/90,Desmarques/90,"Precisión desmarques, %",Jugadas claves/90,Pases en el último tercio/90,"Precisión pases en el último tercio, %",Pases al área de penalti/90,"Pases hacía el área pequeña, %",Pases en profundidad/90,"Precisión pases en profundidad, %",Ataque en profundidad/90,Centros desde el último tercio/90,Pases progresivos/90,"Precisión pases progresivos, %",Goles recibidos,Goles recibidos/90,Remates en contra,Remates en contra/90,Porterías imbatidas en los 90,"Paradas, %",xG en contra,xG en contra/90,Goles evitados,Goles evitados/90,Pases hacía atrás recibidos del arquero/90,Salidas/90,Duelos aéreos en los 90.1,Tiros libres/90,Tiros libres directos/90,"Tiros libres directos, %",Córneres/90,Penaltis a favor,"Penaltis realizados, %",Temporada,pos_primaria,grupo,cluster,arquetipo,distancia_centroide,pureza_arquetipo,pca1,pca2
Léo Baptistão,Almería,Almería,"RW, RWF, CF",33,1500000,2026-06-30,28,1818,5,4.86,1,0.81,21.88,41.18,Brazil,"Brazil, Spain",derecho,185,72,no,7.23,6.24,49.21,3.86,41.03,0.74,0.9,0.1,3.42,4.15,1.49,7,0.35,0,0.0,2.82,0.25,5,0.25,0.24,2,0.1,43,2.13,34.88,11.628,0.05,1.29,23.08,0.25,0.0,0.99,30.0,0.15,2.97,55.0,7.77,38.85,2.72,1.58,1.39,16.98,1.73,1.14,24.8,69.86,6.09,53.66,5.94,90.0,7.87,66.04,21.53,74.94,2.03,46.34,17.89,23.7,0.04,0.59,0.1,0.05,0.4,37.5,0.4,3.07,50.0,1.78,38.89,0.64,30.77,0.4,0.25,4.21,54.12,0,,0,,0,0,0,0.0,,,0.05,,,0.0,0.0,0.0,0.0,0,0.0,2022-23,RW,Extremo,1,Finalizador,2.5939378012454366,38.3,-1.1634052353081425,-1.8467582340480266
Rodri Sánchez,Real Betis,Real Betis,"LAMF, AMF, RAMF",26,3000000,2027-06-30,30,1736,2,1.81,3,1.11,16.95,46.48,Spain,Spain,izquierdo,175,62,no,3.68,3.73,54.17,0.52,10.0,0.05,0.07,0.0,1.61,2.24,0.26,1,0.05,0,0.0,4.25,0.1,2,0.1,0.09,0,0.0,16,0.83,43.75,12.5,0.16,2.7,30.77,1.66,40.63,1.04,15.0,0.26,4.25,59.76,10.73,46.86,2.28,1.76,0.83,32.04,1.04,2.07,42.98,85.65,10.47,81.68,9.8,96.83,14.78,84.56,38.21,90.91,2.23,55.81,18.98,32.38,0.06,0.83,0.0,0.0,1.09,47.62,0.52,4.67,77.78,3.01,60.34,1.35,42.31,1.3,0.83,7.0,83.7,0,,0,,0,0,0,0.0,,,0.31,,,0.0,0.0,0.0,0.1,0,0.0,2022-23,LAMF,Extremo,2,Asociativo,2.5212002922332015,45.5,-0.8947526373394878,0.7533970825153768
Adri Embarba,Almería,Almería,"LW, LWF",34,1800000,2028-06-30,30,1639,4,3.71,3,2.33,30.09,42.34,Spain,Spain,derecho,173,68,no,7.58,7.03,58.59,2.86,21.15,0.6,0.85,0.0,2.86,4.03,1.26,4,0.22,1,0.05,7.47,0.22,3,0.16,0.2,0,0.0,52,2.86,38.46,7.692,0.16,3.84,35.71,2.69,32.65,1.15,42.86,0.6,9.5,50.29,15.98,41.92,2.2,3.9,1.43,16.58,1.37,1.7,26.52,72.26,6.92,69.05,6.15,85.71,8.73,64.78,21.09,79.17,1.81,69.7,18.11,31.1,0.13,1.26,0.16,0.05,0.49,44.44,0.38,2.25,60.98,3.73,39.71,0.44,25.0,0.49,1.26,4.61,70.24,0,,0,,0,0,0,0.0,,,0.05,,,1.32,0.71,53.85,3.13,1,100.0,2022-23,LW,Extremo,2,Asociativo,3.2515590123329634,15.6,1.4495323468053705,0.7050517341548477
A. Ezzalzouli,Osasuna,Osasuna,"LW, LAMF, LWF",24,0,2029-06-30,28,1605,4,3.08,2,1.78,29.38,43.51,Morocco,"Morocco, Spain",derecho,177,73,no,5.27,5.72,51.96,1.29,21.74,0.34,0.46,0.0,1.96,2.69,1.57,3,0.17,2,0.11,8.64,0.22,4,0.22,0.17,0,0.0,39,2.19,38.46,10.256,0.11,4.93,32.95,4.71,34.52,0.22,0.0,0.22,8.97,65.63,18.79,45.37,3.31,5.21,2.13,21.36,2.19,1.91,29.05,70.85,6.22,54.95,7.18,89.84,8.97,70.63,23.1,79.37,1.23,59.09,16.36,20.14,0.1,0.73,0.06,0.11,0.62,45.45,0.45,1.63,51.72,4.26,47.37,0.5,33.33,1.12,1.68,4.71,75.0,0,,0,,0,0,0,0.0,,,0.06,,,0.17,0.11,50.0,0.45,0,0.0,2022-23,LW,Extremo,0,Desbordador,3.805963339990575,27.3,2.6536469703001604,1.8135691662770324
J. Kluivert,Valencia,Valencia,"RWF, LW, CF",27,14000000,2028-06-30,26,1599,6,5.01,0,2.52,19.7,41.14,Netherlands,"Netherlands, Suriname",derecho,172,66,no,3.6,3.94,52.86,1.97,31.43,0.28,0.44,0.06,1.24,1.92,1.41,4,0.23,0,0.0,4.84,0.34,5,0.28,0.28,1,0.06,41,2.31,41.46,14.634,0.0,2.98,35.85,1.13,30.0,1.86,39.39,0.45,5.18,54.35,9.96,40.68,3.43,2.93,1.35,14.86,1.35,1.07,19.7,75.43,4.17,67.57,4.17,91.89,7.04,73.6,15.93,83.75,0.9,56.25,18.21,17.11,0.14,1.13,0.06,0.0,0.17,0.0,0.56,1.18,80.95,2.87,60.78,0.45,25.0,1.46,1.01,2.81,78.0,0,,0,,0,0,0,0.0,,,0.06,,,0.45,0.11,0.0,1.69,1,100.0,2022-23,RWF,Extremo,1,Finalizador,2.162733725841774,56.8,2.1341477334580934,-1.0949578864802665
V. Tsygankov,Girona,Girona,RW,28,30000000,2027-06-30,19,1597,3,2.74,5,3.74,13.69,44.44,Israel,"Israel, Ukraine",izquierdo,178,72,no,4.45,3.89,52.17,1.58,32.14,0.0,0.0,0.11,2.42,3.26,0.51,0,0.0,0,0.0,2.93,0.17,3,0.17,0.15,0,0.0,19,1.07,47.37,15.789,0.28,1.35,37.5,0.11,0.0,1.18,42.86,0.17,2.87,62.75,6.37,44.25,2.76,2.65,0.9,22.04,2.03,1.24,31.5,75.67,7.1,57.94,8.9,88.61,8.57,81.58,28.97,77.82,1.18,66.67,15.05,27.37,0.21,1.69,0.06,0.11,0.62,18.18,0.51,1.92,58.82,2.09,45.95,0.45,0.0,1.18,0.51,4.23,70.67,0,,0,,0,0,0,0.0,,,0.17,,,0.79,0.0,0.0,1.86,0,0.0,2022-23,RW,Extremo,1,Finalizador,2.7666486568734965,29.6,-0.3265888425703087,-0.17845571432500562
Marco Asensio,Real Madrid,Real Madrid,"RWF, RCMF",30,0,2028-06-30,31,1588,9,5.06,6,4.26,12.41,48.86,Spain,"Spain, Netherlands",izquierdo,182,76,no,3.51,3.57,50.79,0.34,66.67,0.11,0.19,0.23,1.59,2.63,0.62,1,0.06,0,0.0,4.25,0.51,9,0.51,0.29,0,0.0,58,3.29,41.38,15.517,0.34,2.95,17.31,1.02,11.11,1.87,21.21,0.28,3.06,70.37,6.91,51.64,3.63,2.66,1.53,34.23,0.91,0.96,40.64,84.38,8.1,79.02,9.63,96.47,13.09,83.12,35.93,90.85,1.87,60.61,16.31,19.97,0.24,1.64,0.17,0.06,0.51,44.44,0.74,4.25,84.0,3.12,56.36,1.02,38.89,1.7,0.57,3.57,73.02,0,,0,,0,0,0,0.0,,,0.11,,,0.96,0.28,0.0,2.66,1,0.0,2022-23,RWF,Extremo,0,Desbordador,4.022962504859198,21.2,3.4290184779352213,-1.3561696542958588
L. de la Torre,Celta de Vigo,Celta de Vigo,LW,28,3000000,2029-06-30,28,1586,0,1.89,0,1.2,17.59,43.23,United States,"United States, Spain",derecho,177,63,no,6.75,8.23,49.66,1.76,22.58,0.17,0.22,0.06,2.5,3.24,1.76,6,0.34,0,0.0,1.87,0.0,0,0.0,0.11,0,0.0,17,0.96,23.53,0.0,0.0,1.53,22.22,0.91,25.0,0.62,18.18,0.11,1.7,73.33,4.65,50.0,1.65,2.21,1.87,24.85,0.74,0.68,33.93,86.29,7.72,78.68,9.99,96.02,9.25,87.12,31.55,89.93,0.85,66.67,15.35,9.75,0.07,0.51,0.06,0.0,0.28,20.0,0.17,3.18,87.5,1.7,36.67,0.34,33.33,0.45,0.4,3.75,66.67,0,,0,,0,0,0,0.0,,,0.17,,,0.0,0.0,0.0,0.0,0,0.0,2022-23,LW,Extremo,3,Defensivo,3.663767979287037,6.7,-2.846455038374943,0.7129330170270315
O. Dembélé,Barcelona,Barcelona,"RWF, LWF",28,0,2028-06-30,25,1523,5,4.73,7,5.28,20.45,46.82,France,"France, Mauritania",ambidiestro,178,67,no,4.08,4.43,58.67,0.89,26.67,0.18,0.32,0.06,1.3,2.37,0.95,4,0.24,0,0.0,7.74,0.3,5,0.3,0.28,1,0.06,48,2.84,37.5,10.417,0.41,4.61,23.08,0.65,27.27,3.96,22.39,0.53,9.16,54.84,13.77,46.78,4.79,6.03,2.54,37.94,2.78,1.12,45.68,78.53,8.27,66.43,10.76,93.41,17.49,81.76,40.12,85.42,1.3,54.55,18.06,19.48,0.31,2.13,0.0,0.12,1.95,30.3,1.18,2.19,64.86,5.91,47.0,2.01,29.41,2.6,0.95,4.85,84.15,0,,0,,0,0,0,0.0,,,0.12,,,0.24,0.0,0.0,3.84,0,0.0,2022-23,RWF,Extremo,0,Desbordador,3.594038614048975,33.3,6.7903100508716365,1.9631082298205629
Ferrán Torres,Barcelona,Barcelona,"LWF, RWF, CF",25,0,2027-06-30,33,1519,4,5.54,1,2.84,18.25,39.61,Spain,Spain,derecho,184,77,no,3.67,3.61,50.82,1.66,42.86,0.36,0.63,0.06,1.48,2.62,1.07,5,0.3,1,0.06,4.56,0.24,4,0.24,0.33,0,0.0,38,2.25,34.21,10.526,0.06,3.08,32.69,1.48,36.0,1.6,29.63,0.24,5.45,46.74,10.66,38.89,4.38,2.73,0.95,26.01,1.78,1.48,30.75,79.77,5.33,62.22,7.94,92.54,11.55,80.0,26.48,85.23,1.36,69.57,16.93,17.33,0.17,1.07,0.0,0.0,0.47,50.0,0.83,1.36,65.22,3.32,53.57,0.47,50.0,1.24,0.95,3.67,83.87,0,,0,,0,0,0,0.0,,,0.3,,,0.3,0.06,0.0,1.24,1,0.0,2022-23,LWF,Extremo,0,Desbordador,2.22639827789673,78.8,2.7633194745111838,-1.000404134857008
Ansu Fati,Barcelona,Barcelona,"LWF, CF, LAMF",23,25000000,2028-06-30,36,1516,7,9.35,2,1.9,17.1,40.97,Guinea-Bissau,"Guinea-Bissau, Spain",derecho,178,66,si,4.51,3.74,55.56,1.9,40.63,0.12,0.21,0.0,2.32,4.18,1.07,3,0.18,0,0.0,3.56,0.42,7,0.42,0.56,1,0.06,60,3.56,30.0,11.667,0.12,1.13,52.63,1.07,50.0,0.0,0.0,0.12,4.16,45.71,8.55,36.11,7.12,2.32,0.53,31.41,1.6,0.71,35.2,85.67,5.16,71.26,10.98,95.68,9.97,88.69,33.25,87.14,0.95,75.0,14.45,10.65,0.11,0.77,0.18,0.18,0.42,0.0,0.77,1.54,69.23,1.54,73.08,0.36,0.0,1.54,0.47,2.08,68.57,0,,0,,0,0,0,0.0,,,0.0,,,0.18,0.18,0.0,0.3,0,0.0,2022-23,LWF,Extremo,1,Finalizador,5.241771745238735,1.2,3.4767390675440124,-5.327248009843579
Samu Castillejo,Valencia,Valencia,"RWF, RW",31,600000,,25,1493,4,4.11,0,2.34,26.4,45.21,Spain,Spain,izquierdo,182,67,no,6.75,8.02,52.63,2.29,34.21,0.36,0.61,0.06,2.17,3.65,1.93,7,0.42,0,0.0,5.85,0.24,4,0.24,0.25,0,0.0,32,1.93,31.25,12.5,0.0,3.19,37.74,0.6,20.0,2.53,40.48,0.6,6.15,58.82,13.2,46.58,2.53,3.26,0.72,24.35,1.33,2.29,33.64,83.69,9.04,77.33,7.54,94.4,11.51,82.72,28.87,89.35,1.69,71.43,17.44,25.8,0.14,1.39,0.06,0.0,0.84,50.0,0.6,3.56,84.75,3.26,55.56,1.02,47.06,0.84,1.21,5.12,85.88,0,,0,,0,0,0,0.0,,,0.06,,,0.84,0.12,50.0,2.47,0,0.0,2022-23,RWF,Extremo,2,Asociativo,1.697172313288725,88.3,0.7332364529353625,0.3246000294441246
Iván Alejo,Cádiz,Cádiz,RW,31,1500000,2027-06-30,31,1490,0,1.48,1,2.6,27.6,50.55,Spain,Spain,derecho,186,79,no,8.7,9.97,56.36,2.96,48.98,0.3,0.38,0.12,2.78,3.47,2.36,12,0.72,1,0.06,6.58,0.0,0,0.0,0.09,0,0.0,21,1.27,28.57,0.0,0.06,6.34,36.19,0.36,0.0,5.98,38.38,0.79,6.52,60.19,11.17,51.35,1.27,2.23,0.91,14.19,1.87,2.66,21.38,63.56,4.95,56.1,4.17,89.86,7.91,59.54,13.95,78.79,1.39,34.78,21.16,14.44,0.16,0.85,0.0,0.0,0.12,0.0,0.42,1.63,48.15,4.95,50.0,0.3,0.0,0.36,2.11,4.89,67.9,0,,0,,0,0,0,0.0,,,0.0,,,0.06,0.0,0.0,0.48,0,0.0,2022-23,RW,Extremo,2,Asociativo,3.6604700418359792,11.7,-0.8272630701240277,4.031484662343563
Ayoze Pérez,Real Betis,Real Betis,"LAMF, CF, AMF",32,7000000,2028-06-30,19,1473,3,4.37,1,2.01,24.44,43.25,Spain,Spain,derecho,178,66,no,7.94,7.27,54.62,2.32,26.32,0.67,0.92,0.0,3.3,4.5,1.89,3,0.18,0,0.0,4.03,0.18,3,0.18,0.27,0,0.0,31,1.89,38.71,9.677,0.06,0.67,9.09,0.43,0.0,0.24,25.0,0.12,5.44,55.06,11.43,44.92,3.79,3.05,1.41,16.62,1.28,1.71,22.42,82.29,5.13,73.81,6.35,89.42,4.58,86.67,21.38,84.57,0.37,83.33,13.83,12.27,0.12,0.67,0.0,0.0,0.49,50.0,0.43,1.77,82.76,1.41,78.26,0.31,40.0,1.53,0.06,2.93,68.75,0,,0,,0,0,0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0,2022-23,LAMF,Extremo,1,Finalizador,2.608329909936497,37.0,-0.22393142707749186,-1.5936568208865316
Kike Barja,Osasuna,Osasuna,"RW, RAMF, LAMF",29,2000000,2028-06-30,27,1418,1,1.96,6,4.29,25.39,44.75,Spain,Spain,derecho,179,69,no,4.32,5.9,46.24,1.27,45.0,0.0,0.0,0.06,1.59,2.1,1.08,1,0.06,0,0.0,8.76,0.06,1,0.06,0.12,0,0.0,17,1.08,35.29,5.882,0.38,6.66,41.9,4.44,41.43,2.22,42.86,1.33,9.01,57.75,14.72,46.55,2.98,2.09,0.63,19.61,2.54,0.95,28.56,70.67,4.89,62.34,6.35,87.0,11.3,67.42,20.56,81.17,1.46,52.17,19.23,16.82,0.27,1.71,0.13,0.0,0.63,60.0,1.14,1.65,65.38,5.84,50.0,0.57,44.44,0.7,2.79,4.89,75.32,0,,0,,0,0,0,0.0,,,0.32,,,0.06,0.0,0.0,0.89,0,0.0,2022-23,RW,Extremo,2,Asociativo,4.106581849599464,7.8,2.651735117891595,4.404086862255954
Nico Melamed,Espanyol,Espanyol,"LW, RCMF, CF",25,0,2030-06-30,32,1405,1,3.53,2,1.22,22.55,36.65,Spain,"Spain, Argentina",derecho,173,66,no,5.7,5.25,50.0,3.33,28.85,0.51,0.68,0.06,2.56,3.42,1.6,4,0.26,0,0.0,3.07,0.06,1,0.06,0.23,0,0.0,34,2.18,29.41,2.941,0.13,1.41,31.82,0.64,40.0,0.77,25.0,0.13,3.59,44.64,10.06,35.03,2.24,2.05,1.6,17.49,0.83,2.11,25.17,81.93,6.92,72.22,5.25,95.12,8.01,86.4,22.74,86.76,1.15,38.89,17.98,15.24,0.08,0.96,0.0,0.06,0.58,66.67,0.7,3.27,82.35,2.05,46.88,0.83,61.54,0.64,0.58,2.82,81.82,0,,0,,0,0,0,0.0,,,0.06,,,0.96,0.26,0.0,1.28,0,0.0,2022-23,LW,Extremo,1,Finalizador,2.1301428043154256,59.3,-0.3849876335472394,-0.915430410337765
A. Ndiaye,Mallorca,Mallorca,"RW, LW, CF",29,1500000,2027-06-30,28,1361,2,2.55,0,0.43,21.69,39.02,Senegal,"Senegal, Spain",derecho,173,70,no,6.81,7.01,58.49,2.12,28.13,0.73,0.91,0.07,1.98,2.47,2.25,2,0.13,1,0.07,2.51,0.13,2,0.13,0.17,0,0.0,21,1.39,33.33,9.524,0.0,1.26,21.05,0.33,20.0,0.93,21.43,0.07,3.9,38.98,9.19,31.65,2.31,2.05,1.12,11.7,1.26,1.39,17.99,75.74,3.97,65.0,4.1,88.71,4.83,75.34,15.87,82.08,0.86,38.46,14.68,10.81,0.03,0.13,0.07,0.0,0.33,80.0,0.2,1.65,60.0,1.65,32.0,0.33,60.0,0.26,0.33,2.18,63.64,0,,0,,0,0,0,0.0,,,0.07,,,0.0,0.0,0.0,0.0,0,0.0,2022-23,RW,Extremo,3,Defensivo,2.6504315294952567,31.5,-1.9798212071115495,-1.319499653446962
Yan Couto,Girona,Girona,"RW, RB, RWB",24,25000000,2030-06-30,25,1288,1,0.32,2,2.0,19.22,44.73,Brazil,"Brazil, Portugal",derecho,168,60,no,5.24,6.43,61.96,0.56,12.5,0.0,0.0,0.07,1.26,1.62,0.84,3,0.21,0,0.0,4.33,0.07,1,0.07,0.02,0,0.0,10,0.7,20.0,10.0,0.14,4.75,35.29,0.0,0.0,4.68,35.82,0.35,5.73,40.24,10.06,39.58,1.61,3.42,2.03,25.5,2.1,1.05,36.41,76.58,10.41,64.43,8.18,93.16,11.53,75.15,28.51,85.78,3.77,55.56,18.19,30.8,0.14,1.12,0.07,0.0,0.42,50.0,0.56,3.35,64.58,4.12,35.59,0.56,25.0,0.7,1.4,6.08,72.41,0,,0,,0,0,0,0.0,,,0.91,,,0.0,0.0,0.0,0.07,0,0.0,2022-23,RW,Extremo,2,Asociativo,3.7585941554463185,10.4,0.1471469230330037,2.970098016685676
Munir El Haddadi,Getafe,Getafe,"LW, LCMF, AMF",30,2500000,2027-06-30,28,1286,3,2.31,1,1.33,23.09,40.91,Spain,"Spain, Morocco",izquierdo,177,69,no,6.09,4.2,58.33,4.41,41.27,0.28,0.35,0.14,3.36,4.2,0.91,4,0.28,0,0.0,3.01,0.21,3,0.21,0.16,0,0.0,28,1.96,35.71,10.714,0.07,2.8,25.0,2.66,26.32,0.14,0.0,0.14,3.29,46.81,10.57,39.07,2.59,0.7,0.28,17.08,1.96,2.31,24.21,70.23,6.23,50.56,6.65,91.58,6.72,63.54,20.02,78.32,1.54,45.45,15.94,18.02,0.09,0.63,0.07,0.0,0.35,20.0,0.35,2.73,58.97,2.94,30.95,0.77,27.27,0.42,0.84,3.29,70.21,0,,0,,0,0,0,0.0,,,0.0,,,1.33,0.14,50.0,1.26,0,0.0,2022-23,LW,Extremo,3,Defensivo,2.3403735895795643,41.6,-1.2136954540978653,-0.8826327411605949
Rubén García,Osasuna,Osasuna,"RW, RAMF",32,2500000,2027-06-30,29,1276,2,1.38,2,2.76,20.95,42.42,Spain,Spain,derecho,171,72,no,6.7,5.5,52.56,4.16,32.2,0.14,0.19,0.07,3.67,4.95,0.99,2,0.14,0,0.0,3.46,0.14,2,0.14,0.1,0,0.0,18,1.27,27.78,11.111,0.14,2.54,36.11,0.85,41.67,1.69,33.33,0.14,2.68,63.16,6.98,44.44,1.76,1.13,0.35,23.06,2.33,1.27,35.34,79.64,7.48,68.87,8.32,94.07,12.27,77.01,30.33,84.88,2.47,60.0,16.46,23.52,0.19,1.69,0.0,0.07,0.71,70.0,0.35,2.54,72.22,3.1,52.27,0.78,72.73,0.78,1.06,4.51,78.13,0,,0,,0,0,0,0.0,,,0.07,,,1.34,0.07,0.0,2.47,0,0.0,2022-23,RW,Extremo,3,Defensivo,2.256557147231686,49.4,-1.8431260942467818,0.7687722154514776
L. Ocampos,Sevilla,Sevilla,"RAMF, LW, CF",31,0,2027-06-30,19,1270,4,5.69,0,0.85,23.39,44.55,Argentina,"Argentina, Spain",derecho,188,84,no,5.81,5.24,59.46,4.11,60.34,0.14,0.22,0.14,2.55,3.99,1.13,7,0.5,0,0.0,3.83,0.28,1,0.07,0.4,0,0.0,30,2.13,33.33,13.333,0.0,2.27,34.38,0.28,0.0,1.91,40.74,0.14,4.54,45.31,10.13,34.97,3.9,1.63,0.99,21.4,2.76,1.63,28.2,78.89,5.53,65.38,6.87,90.72,8.86,80.0,24.87,84.33,1.13,50.0,16.58,16.64,0.06,0.78,0.07,0.0,0.43,66.67,0.43,1.98,57.14,2.13,56.67,0.28,50.0,0.78,0.85,3.4,64.58,0,,0,,0,0,0,0.0,,,0.07,,,0.0,0.0,0.0,0.07,3,100.0,2022-23,RAMF,Extremo,1,Finalizador,1.8377825610129432,81.5,0.4836384515935732,-2.6039844699647676
Antonio Sánchez,Mallorca,Mallorca,"RW, RB, RCMF",28,2500000,2027-06-30,32,1236,0,0.99,0,0.77,20.39,46.07,Spain,Spain,derecho,179,78,no,10.34,9.32,55.47,1.97,25.93,0.07,0.09,0.0,5.1,6.4,1.67,5,0.36,0,0.0,2.11,0.0,0,0.0,0.07,0,0.0,12,0.87,41.67,0.0,0.0,2.26,25.81,0.07,0.0,2.18,26.67,0.15,2.11,55.17,6.04,37.35,1.24,1.67,1.24,19.95,1.82,1.17,30.44,74.16,9.03,56.45,6.04,87.95,9.83,80.74,24.68,81.71,3.71,50.98,17.82,25.27,0.06,0.36,0.0,0.07,0.15,0.0,0.22,4.0,65.45,2.04,46.43,0.36,0.0,0.44,0.51,5.24,55.56,0,,0,,0,0,0,0.0,,,0.29,,,0.0,0.0,0.0,0.07,0,0.0,2022-23,RW,Extremo,3,Defensivo,3.7156485175602145,5.6,-4.202228342300478,0.9593286873223968
G. Lo Celso,Villarreal,Villarreal,"LW, RCMF, AMF",30,16000000,2028-06-30,22,1229,2,2.21,2,2.48,19.92,47.43,Argentina,"Argentina, Italy",izquierdo,177,68,no,6.3,5.79,55.7,1.03,35.71,1.1,1.76,0.15,1.98,3.18,1.03,3,0.22,0,0.0,4.17,0.15,2,0.15,0.16,1,0.07,29,2.12,24.14,6.897,0.15,1.17,37.5,0.44,16.67,0.66,55.56,0.29,3.52,60.42,9.96,44.85,2.93,2.42,1.76,38.52,0.81,2.34,47.01,86.6,11.5,77.71,9.59,96.95,17.21,88.94,42.69,88.16,3.22,84.09,17.33,27.98,0.18,1.76,0.07,0.07,1.83,60.0,0.81,5.2,80.28,4.25,63.79,1.46,50.0,2.56,0.29,6.88,82.98,0,,0,,0,0,0,0.0,,,0.29,,,0.29,0.22,66.67,1.98,0,0.0,2022-23,LW,Extremo,2,Asociativo,2.445591518249151,50.6,1.1159416195115863,0.5395238246366548
B. Ocampo,Cádiz,Cádiz,"LW, LAMF",26,900000,2026-06-30,18,1204,1,0.62,2,2.17,25.49,44.57,Uruguay,Uruguay,derecho,172,70,no,5.91,7.7,48.54,1.72,30.43,0.15,0.17,0.0,2.02,2.33,2.32,2,0.15,0,0.0,4.04,0.07,1,0.07,0.05,0,0.0,13,0.97,15.38,7.692,0.15,1.27,47.06,1.05,57.14,0.22,0.0,0.45,4.86,61.54,14.05,44.15,1.42,2.69,1.2,16.89,1.35,2.02,24.59,79.64,5.38,72.22,5.98,91.25,6.73,77.78,22.72,82.57,0.67,44.44,15.76,17.63,0.16,1.42,0.07,0.0,0.67,44.44,0.6,1.42,63.16,1.79,66.67,0.75,40.0,0.97,0.67,3.89,73.08,0,,0,,0,0,0,0.0,,,0.07,,,0.37,0.0,0.0,1.27,0,0.0,2022-23,LW,Extremo,3,Defensivo,2.6606341780921583,29.2,-1.4873306017616255,1.1438525573499072
A. Gómez,Sevilla,Sevilla,"LAMF, AMF, LW",38,0,2027-06-30,19,1174,1,1.45,1,1.9,14.72,43.23,Argentina,"Argentina, Italy",derecho,167,68,no,2.84,2.45,56.25,1.0,23.08,0.38,0.58,0.15,1.07,1.62,0.46,4,0.31,0,0.0,4.45,0.08,1,0.08,0.11,0,0.0,21,1.61,28.57,4.762,0.08,3.22,45.24,2.3,40.0,0.92,58.33,0.69,3.83,60.0,9.12,47.9,2.07,2.61,0.92,31.58,1.99,1.69,38.41,87.62,10.5,83.21,6.21,97.53,14.34,87.17,31.74,93.0,3.6,78.72,17.53,30.73,0.15,0.92,0.08,0.0,0.23,100.0,0.61,4.68,81.97,4.37,59.65,1.46,52.63,1.61,1.3,7.13,90.32,0,,0,,0,0,0,0.0,,,0.0,,,0.15,0.0,0.0,0.84,0,0.0,2022-23,LAMF,Extremo,2,Asociativo,2.7274941787373215,33.8,0.8354567159144253,1.404433716453712
Aleix Vidal,Espanyol,Espanyol,"RW, RAMF, RB",36,600000,,25,1140,0,0.08,3,1.45,15.55,43.15,Spain,Spain,derecho,177,70,no,8.29,7.26,44.57,1.18,53.33,0.71,0.95,0.08,4.34,5.79,1.66,9,0.71,1,0.08,1.82,0.0,0,0.0,0.01,0,0.0,3,0.24,66.67,0.0,0.24,2.92,27.03,0.08,100.0,2.84,25.0,0.08,1.66,47.62,4.74,45.0,0.95,1.03,0.39,16.26,1.18,1.34,25.34,75.7,5.13,60.0,6.55,90.36,9.47,75.83,21.39,82.29,1.26,75.0,18.54,21.49,0.11,0.79,0.08,0.0,0.24,33.33,0.55,2.53,71.88,2.68,41.18,0.39,40.0,0.79,0.71,4.42,71.43,0,,0,,0,0,0,0.0,,,0.39,,,0.24,0.0,0.0,0.39,0,0.0,2022-23,RW,Extremo,3,Defensivo,2.9249303797018613,20.2,-3.81644703638544,1.7341839997995245
