tipo,nombre,url
jugador,Ander Yoldi,https://img.sofascore.com/api/v1/player/1084394/image
jugador,César Palacios,https://img.sofascore.com/api/v1/player/1402688/image
jugador,Alberto Collado,https://img.sofascore.com/api/v1/player/1402673/image
jugador,Ibon Sánchez,https://img.sofascore.com/api/v1/player/1484945/image
jugador,Goyo Medina,https://img.sofascore.com/api/v1/player/1119630/image
jugador,Peio Huestamendia,https://img.sofascore.com/api/v1/player/1466121/image
jugador,David Amigo,https://img.sofascore.com/api/v1/player/1108390/image
jugador,Unax Alvarez,https://img.sofascore.com/api/v1/player/2235108/image
jugador,Antonio Pacheco,https://img.sofascore.com/api/v1/player/982575/image
jugador,Juan Agüero,https://img.sofascore.com/api/v1/player/930937/image
jugador,Carlos Rojas,https://img.sofascore.com/api/v1/player/1004408/image
jugador,Carlos Benítez,https://img.sofascore.com/api/v1/player/1099549/image
jugador,Jorge Padilla,https://img.sofascore.com/api/v1/player/1007853/image
jugador,Max Svensson,https://img.sofascore.com/api/v1/player/1085569/image
jugador,José Lara,https://img.sofascore.com/api/v1/player/914419/image
jugador,Marcos Moreno,https://img.sofascore.com/api/v1/player/1523969/image
jugador,R. Marina,https://img.sofascore.com/api/v1/player/1580031/image
jugador,I. Yurrieta,https://img.sofascore.com/api/v1/player/1216291/image
jugador,George Andrews,https://img.sofascore.com/api/v1/player/2202902/image
jugador,Antonio Aranda,https://img.sofascore.com/api/v1/player/1009870/image
jugador,Rodrigo Rodrigues,https://img.sofascore.com/api/v1/player/989091/image
jugador,Diego García,https://img.sofascore.com/api/v1/player/930446/image
jugador,M. Keita,https://img.sofascore.com/api/v1/player/317699/image
jugador,M. Niang,https://img.sofascore.com/api/v1/player/1470773/image
jugador,F. Mwepu,https://img.sofascore.com/api/v1/player/881132/image
jugador,Clau Mendes,https://img.sofascore.com/api/v1/player/940526/image
jugador,A. Shashoua,https://img.sofascore.com/api/v1/player/826143/image
jugador,A. Godoy,https://img.sofascore.com/api/v1/player/1015993/image
jugador,M. Bouzaidi,https://img.sofascore.com/api/v1/player/910104/image
jugador,A. Teijeira,https://img.sofascore.com/api/v1/player/1580581/image
jugador,José Naranjo,https://img.sofascore.com/api/v1/player/1428754/image
jugador,T. Geralnik,https://img.sofascore.com/api/v1/player/1142258/image
jugador,J. Ochieng,https://img.sofascore.com/api/v1/player/1111081/image
jugador,T. Awudu,https://img.sofascore.com/api/v1/player/1066182/image
jugador,E. Eyong,https://img.sofascore.com/api/v1/player/1393673/image
jugador,J. Escobar,https://img.sofascore.com/api/v1/player/942907/image
jugador,García Pascual,https://img.sofascore.com/api/v1/player/1929542/image
jugador,L. de León,https://img.sofascore.com/api/v1/player/976104/image
jugador,Pablo Santiago,https://img.sofascore.com/api/v1/player/1594117/image
jugador,J. Raigal,https://img.sofascore.com/api/v1/player/951820/image
jugador,Mateo Mejía,https://img.sofascore.com/api/v1/player/1134538/image
jugador,Enol Rodríguez,https://img.sofascore.com/api/v1/player/1014687/image
jugador,R. Lucero,https://img.sofascore.com/api/v1/player/1092317/image
jugador,Pau Pérez,https://img.sofascore.com/api/v1/player/1429023/image
jugador,N. Ogbuehi,https://img.sofascore.com/api/v1/player/1851556/image
jugador,Álex Rubio,https://img.sofascore.com/api/v1/player/1526651/image
jugador,K. Sánchez,https://img.sofascore.com/api/v1/player/1010655/image
jugador,H. López Cortés,https://img.sofascore.com/api/v1/player/1869106/image
jugador,Pablo Palacín,https://img.sofascore.com/api/v1/player/2058751/image
jugador,Dani Selma,https://img.sofascore.com/api/v1/player/1428696/image
jugador,Victor Sánchez,https://img.sofascore.com/api/v1/player/1482765/image
jugador,Joselillo Gaitán,https://img.sofascore.com/api/v1/player/2428133/image
jugador,Eric Perez,https://img.sofascore.com/api/v1/player/1869129/image
jugador,F. Viveros,https://img.sofascore.com/api/v1/player/1596558/image
jugador,D. Gómez,https://img.sofascore.com/api/v1/player/1391375/image
jugador,João Resende,https://img.sofascore.com/api/v1/player/1006110/image
jugador,O. Ouhdadi,https://img.sofascore.com/api/v1/player/1594502/image
jugador,V. Kopotun,https://img.sofascore.com/api/v1/player/1484981/image
jugador,J. Rastrojo,https://img.sofascore.com/api/v1/player/1525869/image
jugador,Jon García,https://img.sofascore.com/api/v1/player/1145937/image
jugador,S. El Ftouhi,https://img.sofascore.com/api/v1/player/1513251/image
jugador,Adnane Ghailan,https://img.sofascore.com/api/v1/player/1978037/image
jugador,J. Cuéllar,https://img.sofascore.com/api/v1/player/1009387/image
jugador,S. Hallsson,https://img.sofascore.com/api/v1/player/996859/image
jugador,D. Flakus Bosilj,https://img.sofascore.com/api/v1/player/984000/image
jugador,César Gómez,https://img.sofascore.com/api/v1/player/1441819/image
jugador,Á. Santamaría,https://img.sofascore.com/api/v1/player/1012424/image
jugador,Txus Vizcay,https://img.sofascore.com/api/v1/player/1994155/image
jugador,B. Somuah,https://img.sofascore.com/api/v1/player/1540421/image
jugador,A. García,https://img.sofascore.com/api/v1/player/1402716/image
jugador,J. Farrell,https://img.sofascore.com/api/v1/player/1149869/image
jugador,A. Guerrero,https://img.sofascore.com/api/v1/player/1145643/image
jugador,M. Ochoa,https://img.sofascore.com/api/v1/player/1525787/image
jugador,David Muñoz,https://img.sofascore.com/api/v1/player/1179141/image
jugador,M. Carmona,https://img.sofascore.com/api/v1/player/1626662/image
jugador,Pedro Benito,https://img.sofascore.com/api/v1/player/1146760/image
